,Country name,Regional indicator
0,Finland,Western Europe
1,Denmark,Western Europe
2,Switzerland,Western Europe
3,Iceland,Western Europe
4,Netherlands,Western Europe
5,Norway,Western Europe
6,Sweden,Western Europe
7,Luxembourg,Western Europe
8,New Zealand,North America and ANZ
9,Austria,Western Europe
10,Australia,North America and ANZ
11,Israel,Middle East and North Africa
12,Germany,Western Europe
13,Canada,North America and ANZ
14,Ireland,Western Europe
15,Costa Rica,Latin America and Caribbean
16,United Kingdom,Western Europe
17,Czech Republic,Central and Eastern Europe
18,United States,North America and ANZ
19,Belgium,Western Europe
20,France,Western Europe
21,Bahrain,Middle East and North Africa
22,Malta,Western Europe
23,Taiwan Province of China,East Asia
24,United Arab Emirates,Middle East and North Africa
25,Saudi Arabia,Middle East and North Africa
26,Spain,Western Europe
27,Italy,Western Europe
28,Slovenia,Central and Eastern Europe
29,Guatemala,Latin America and Caribbean
30,Uruguay,Latin America and Caribbean
31,Singapore,Southeast Asia
32,Kosovo,Central and Eastern Europe
33,Slovakia,Central and Eastern Europe
34,Brazil,Latin America and Caribbean
35,Mexico,Latin America and Caribbean
36,Jamaica,Latin America and Caribbean
37,Lithuania,Central and Eastern Europe
38,Cyprus,Western Europe
39,Estonia,Central and Eastern Europe
40,Panama,Latin America and Caribbean
41,Uzbekistan,Commonwealth of Independent States
42,Chile,Latin America and Caribbean
43,Poland,Central and Eastern Europe
44,Kazakhstan,Commonwealth of Independent States
45,Romania,Central and Eastern Europe
46,Kuwait,Middle East and North Africa
47,Serbia,Central and Eastern Europe
48,El Salvador,Latin America and Caribbean
49,Mauritius,Sub-Saharan Africa
50,Latvia,Central and Eastern Europe
51,Colombia,Latin America and Caribbean
52,Hungary,Central and Eastern Europe
53,Thailand,Southeast Asia
54,Nicaragua,Latin America and Caribbean
55,Japan,East Asia
56,Argentina,Latin America and Caribbean
57,Portugal,Western Europe
58,Honduras,Latin America and Caribbean
59,Croatia,Central and Eastern Europe
60,Philippines,Southeast Asia
61,South Korea,East Asia
62,Peru,Latin America and Caribbean
63,Bosnia and Herzegovina,Central and Eastern Europe
64,Moldova,Commonwealth of Independent States
65,Ecuador,Latin America and Caribbean
66,Kyrgyzstan,Commonwealth of Independent States
67,Greece,Western Europe
68,Bolivia,Latin America and Caribbean
69,Mongolia,East Asia
70,Paraguay,Latin America and Caribbean
71,Montenegro,Central and Eastern Europe
72,Dominican Republic,Latin America and Caribbean
73,North Cyprus,Western Europe
74,Belarus,Commonwealth of Independent States
75,Russia,Commonwealth of Independent States
76,Hong Kong S.A.R. of China,East Asia
77,Tajikistan,Commonwealth of Independent States
78,Vietnam,Southeast Asia
79,Libya,Middle East and North Africa
80,Malaysia,Southeast Asia
81,Indonesia,Southeast Asia
82,Congo (Brazzaville),Sub-Saharan Africa
83,China,East Asia
84,Ivory Coast,Sub-Saharan Africa
85,Armenia,Commonwealth of Independent States
86,Nepal,South Asia
87,Bulgaria,Central and Eastern Europe
88,Maldives,South Asia
89,Azerbaijan,Commonwealth of Independent States
90,Cameroon,Sub-Saharan Africa
91,Senegal,Sub-Saharan Africa
92,Albania,Central and Eastern Europe
93,North Macedonia,Central and Eastern Europe
94,Ghana,Sub-Saharan Africa
95,Niger,Sub-Saharan Africa
96,Turkmenistan,Commonwealth of Independent States
97,Gambia,Sub-Saharan Africa
98,Benin,Sub-Saharan Africa
99,Laos,Southeast Asia
100,Bangladesh,South Asia
101,Guinea,Sub-Saharan Africa
102,South Africa,Sub-Saharan Africa
103,Turkey,Middle East and North Africa
104,Pakistan,South Asia
105,Morocco,Middle East and North Africa
106,Venezuela,Latin America and Caribbean
107,Georgia,Commonwealth of Independent States
108,Algeria,Middle East and North Africa
109,Ukraine,Commonwealth of Independent States
110,Iraq,Middle East and North Africa
111,Gabon,Sub-Saharan Africa
112,Burkina Faso,Sub-Saharan Africa
113,Cambodia,Southeast Asia
114,Mozambique,Sub-Saharan Africa
115,Nigeria,Sub-Saharan Africa
116,Mali,Sub-Saharan Africa
117,Iran,Middle East and North Africa
118,Uganda,Sub-Saharan Africa
119,Liberia,Sub-Saharan Africa
120,Kenya,Sub-Saharan Africa
121,Tunisia,Middle East and North Africa
122,Lebanon,Middle East and North Africa
123,Namibia,Sub-Saharan Africa
124,Palestinian Territories,Middle East and North Africa
125,Myanmar,Southeast Asia
126,Jordan,Middle East and North Africa
127,Chad,Sub-Saharan Africa
128,Sri Lanka,South Asia
129,Swaziland,Sub-Saharan Africa
130,Comoros,Sub-Saharan Africa
131,Egypt,Middle East and North Africa
132,Ethiopia,Sub-Saharan Africa
133,Mauritania,Sub-Saharan Africa
134,Madagascar,Sub-Saharan Africa
135,Togo,Sub-Saharan Africa
136,Zambia,Sub-Saharan Africa
137,Sierra Leone,Sub-Saharan Africa
138,India,South Asia
139,Burundi,Sub-Saharan Africa
140,Yemen,Middle East and North Africa
141,Tanzania,Sub-Saharan Africa
142,Haiti,Latin America and Caribbean
143,Malawi,Sub-Saharan Africa
144,Lesotho,Sub-Saharan Africa
145,Botswana,Sub-Saharan Africa
146,Rwanda,Sub-Saharan Africa
147,Zimbabwe,Sub-Saharan Africa
148,Afghanistan,South Asia
